Id	Name	Formula	EC
R03297	UDPglucose:gallate beta-D-glucosyltransferase	C00029 + C01424 <=> C00015 + C01158	2.4.1.136
R03296	trans-4-Hydroxy-L-proline 2-epimerase	C01157 <=> C03440	5.1.1.8
R03291	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase	C01157 + C00003 <=> C04281 + C00004 + C00080	1.5.1.2
R03290	4-Hydroxy-L-proline:NAD+ oxidoreductase	C01157 + C00003 <=> C01877 + C00004 + C00080	1.1.1.104
R03293	trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase	C01157 + C00006 <=> C04281 + C00005 + C00080	1.5.1.2
R03292	4-Hydroxy-L-proline:NADP+ oxidoreductase	C01157 + C00006 <=> C01877 + C00005 + C00080	1.1.1.104
R02375	Palmitoyl-CoA:ecdysone O-palmitoyltransferase	C00154 + C00477 <=> C00010 + C02681	2.3.1.139
R02528		C00546 + C00005 + C00080 <=> C05235 + C00006	1.1.1.-
R02529	aminoacetone:oxygen oxidoreductase(deaminating)	C01888 + C00001 + C00007 <=> C00546 + C00014 + C00027	1.4.3.4         1.4.3.21
R02374	Ecdysone, hydrogen-donor:oxygen oxidoreductase (20-hydroxylating)	C00477 + C00030 + C00007 <=> C02633 + C00028 + C00001	1.14.99.22
R02526	L-Arabinono-1,4-lactone lactonohydrolase	C01114 + C00001 <=> C00545	3.1.1.15
R02527	(R)-Lactaldehyde:NAD+ oxidoreductase	C00937 + C00003 <=> C00546 + C00004 + C00080	1.1.1.78        1.1.1.79
R02520		C00544 + C00007 <=> C05585 + C00011 + C00001	1.13.12.-
R02521	4-Hydroxyphenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)	C01179 + C00007 <=> C00544 + C00011	1.13.11.27
R02522	L-Arabinonate hydro-lyase	C00545 <=> C00684 + C00001	4.2.1.25
R02376	propane-1,2-diol hydro-lyase	C00583 <=> C00479 + C00001	4.2.1.28
R02371	dCTP:cytidine 5'-phosphotransferase	C00458 + C00475 <=> C00705 + C00055	2.7.1.48
R02370	Cytidine 3'-phosphate phosphohydrolase	C05822 + C00001 <=> C00475 + C00009	3.1.3.6
R02373	ecdysone:oxygen 3-oxidoreductase	C00477 + C00007 <=> C02513 + C00027	1.1.3.16
R05412		C07724 + C00007 <=> C07725	1.13.11.-
R06889		C13634 <=> C13635 + C00156	1.13.-.-
R02379	S-Adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	C00019 + C05619 <=> C00021 + C00482	2.1.1.68
R06888		C13631 + C00004 + C00080 + C00007 <=> C13634 + C00003 + C00001	1.14.-.-
R05418		C07100 + C00007 + C00004 + C00080 <=> C07101 + C00048 + C00003 + C00001	1.14.13.-
R06886		C13632 + C00007 <=> C00633 + C10700	1.3.-.-
R03439	kynurenate:oxygen oxidoreductase (hydroxylating)	C01717 + C00007 + C00004 + C00080 <=> C01249 + C00003	1.14.99.2
R03438	Acyl-CoA:1-alkyl-sn-glycero-3-phosphocholine O-acyltransferase	C00040 + C04317 <=> C00010 + C05212	2.3.1.23        2.3.1.63
R00969	P1,P4-bis(5'-uridyl)-tetraphosphate uridylohydrolase	C06198 + C00001 <=> C00075 + C00105	3.6.1.17
R03431	3-(3,5-Diiodo-4-hydroxyphenyl)lactate:NAD+ oxidoreductase	C04367 + C00003 <=> C01244 + C00004 + C00080	1.1.1.96
R03430	D-myo-Inositol 1,3,4,5-tetrakisphosphate 5-phosphohydrolase	C01272 + C00001 <=> C01243 + C00009	3.1.3.56
R03433	ATP:1D-myo-inositol-1,4,5-trisphosphate 3-phosphotransferase	C00002 + C01245 <=> C00008 + C01272	2.7.1.127
R06152		G00278 + C00001 <=> G00249 + C00124	3.2.1.22
R03435	1-Phosphatidyl-1D-myo-inositol-4,5-bisphosphate inositoltrisphosphohydrolase	C04637 + C00001 <=> C01245 + C00641	3.1.4.11
R03434	D-myo-Inositol 1,3,4,5-tetrakisphosphate 3-phosphohydrolase	C01272 + C00001 <=> C01245 + C00009	3.1.3.62
R03437	Acetyl-CoA:1-alkyl-sn-glycero-3-phosphocholine 2-O-acetyltransferase	C00024 + C04317 <=> C00010 + C04598	2.3.1.67
R06156		G10615 + G00037 <=> G10620 + G00044	2.4.1.69
R08721	(24S)-cholest-5-ene-3beta,7alpha,24-triol:NAD+ 3-oxidoreductase	C15518 + C00003 <=> C17331 + C00004 + C00080	1.1.1.181
R04801	carotenoid beta-end group lyase (decyclizing)	C05431 <=> C05434	5.5.1.19
R04800	Neurosporene, hydrogen-donor:oxygen oxidoreductase	C05431 + C00030 + C00007 <=> C05432 + C00028 + 2 C00001	1.3.5.6         1.3.99.26       1.3.99.30       1.3.99.31
R04803		C05434 + C00007 + C00030 <=> C05435 + 2 C00001 + C00028	
R04805		C05444 + C00003 <=> C05445 + C00004 + C00080	1.1.1.1
R04804	delta8,24-Cholestadien-3beta-ol delta7-delta8-isomerase	C05437 <=> C05439	5.3.3.5
R04807	5beta-Cholestane-3alpha,7alpha,12alpha-triol,NADPH:oxygen oxidoreductase (26-hydroxylating)	C05454 + C00007 + C00005 <=> C05446 + C00006 + C00001	1.14.13.15
R04806	5beta-cholestane-3alpha,7alpha-diol,NADPH:oxygen oxidoreductase (26-hydroxylating)	C05452 + C00005 + C00007 <=> C05444 + C00006 + C00001	1.14.13.15
R04809	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA hydro-lyase [3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA-forming]	C05447 + C00001 <=> C05448	4.2.1.107
R04808		C05446 <=> C05468	
R09385	(S)-limonene,NADH:oxygen oxidoreductase	C00521 + C00004 + C00080 + C00007 <=> C19081 + C00003 + C00001	1.14.13.107
R09384	CTP:tRNA cytidylyltransferase	C19078 + C00063 <=> C19080 + C00013	2.7.7.72
R09387	limonene-1,2-epoxide hydrolase	C19081 + C00001 <=> C19082	3.3.2.8
R00521	Formyl-CoA hydrolase	C00798 + C00001 <=> C00010 + C00058	3.1.2.10
R00526	N-Formyl-L-aspartate amidohydrolase	C01044 + C00001 <=> C00058 + C00049	3.5.1.8         3.5.1.15
R00527	S-Formylglutathione hydrolase	C01031 + C00001 <=> C00058 + C00051	3.1.2.12
R06832	cis-1,2-dihydrobenzene-1,2-diol:NAD+ oxidoreductase	C12832 + C00003 <=> C12831 + C00004 + C00080	1.3.1.19
R00296	carbon-monoxide:acceptor oxidoreductase	C00237 + C00001 + C00028 <=> C00011 + C00030	1.2.99.2
R00525	N-Formyl-L-glutamate amidohydrolase	C01045 + C00001 <=> C00058 + C00025	3.5.1.68
R06528	Phytoceramide amidohydrolase	C12145 + C00001 <=> C00162 + C12144	3.5.1.23
R01833	Androst-4-ene-3,17-dione,hydrogen-donor:oxygen oxidoreductase (13-hydroxylating, lactonizing)	C00280 + C00030 + C00007 <=> C04676 + C00028 + C00001	1.14.99.12
R06520	3-sn-phosphatidate phosphohydrolase	C01120 + C00001 <=> C00836 + C00009	3.1.3.4         3.1.3.-
R06521	3-sn-phosphatidate phosphohydrolase	C06124 + C00001 <=> C00319 + C00009	3.1.3.4         3.1.3.-
R06522	3-sn-phosphatidate phosphohydrolase	C02960 + C00001 <=> C00195 + C00009	3.1.3.4         3.1.3.-
R06523	trans,trans-farnesyl-diphosphate diphosphate-lyase (cyclizing, vetispiradiene-forming)	C00448 <=> C12142 + C00013	4.2.3.21
R06525	sphinganine,ferrocytochrome b5:oxygen oxidoreductase (C4-hydroxylating)	C00836 + 2 C00999 + C00007 + 2 C00080 <=> C12144 + 2 C00996 + C00001	1.14.18.5
R06526	dihydroceramide,ferrocytochrome b5:oxygen oxidoreductase (C4-hydroxylating)	C12126 + 2 C00999 + C00007 + 2 C00080 <=> C12145 + 2 C00996 + C00001	1.14.18.5
R06527	acyl-CoA: phytosphingosine N-acyltransferase	C12146 + C12144 <=> C00010 + C12145	2.3.1.24
R06833	catechol:oxygen 1,2-oxidoreductase	C12831 + C00007 <=> C12833	1.13.11.1
R01830	beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	C05345 + C00118 <=> C00279 + C00231	2.2.1.1
R01344	D-alanine:2-oxo acid aminotransferase	C00405 + C00022 <=> C00161 + C00133	2.6.1.21
R01347	Fatty acid,reduced rubredoxin:oxygen oxidoreductase (omega-hydroxylating)	C00162 + C00007 + 2 C00340 + 2 C00080 <=> C03547 + 2 C00435 + C00001	1.14.15.3
R01346	L-Asparagine:2-oxo-acid aminotransferase	C00152 + C00161 <=> C02362 + C00151	2.6.1.14
R06830		C11822 <=> C06735 + C00011	1.1.1.276       1.1.1.387
R08164	UDP-glucose:N-hydroxy-2-phenylethanethioamide S-beta-D-glucosyltransferase	C16516 + C00029 <=> C16517 + C00015	2.4.1.195
R03923	L-Cysteine:tRNA sulfurtransferase	C00097 + C02342 <=> C00065 + C04161	2.8.1.4
R03921	Sucrose 6-phosphate fructohydrolase	C16688 + C00001 <=> C02336 + C00668	3.2.1.26
R03920	ATP:D-fructose 6-phosphotransferase	C00002 + C02336 <=> C00008 + C05345	2.7.1.1         2.7.1.4
R03927		C00864 + 2 C00030 <=> C05944 + 2 C00028 + C00001	
R03925	allantoin racemase	C02350 <=> C02348	5.1.99.3
R03924	GDPmannose:phosphomannan mannosephosphotransferase	C00096 + C02347 <=> C00144 + C16687	2.7.8.9
R09975	geranyl-diphosphate diphosphate-lyase [(+)-beta-pinene-forming]	C00341 <=> C20244 + C00013	4.2.3.122
R01279	palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	C00154 + C00016 <=> C05272 + C01352	1.3.3.6         1.3.8.7         1.3.8.8         1.3.8.9
R01278	hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase;	C00154 + C00006 <=> C05272 + C00005 + C00080	1.3.1.8         1.3.1.38
R10312	kanamycin-B,2-oxoglutarate:oxygen oxidoreductase (deaminating, 2'-hydroxylating)	C00825 + C00026 + C00007 <=> C20509 + C00042 + C00014 + C00011	1.14.11.37
R10313	11-oxo-beta-amyrin,NADPH:oxygen oxidoreductase (30-hydroxylating)	C19943 + C00007 + C00005 + C00080 <=> C20510 + C00006 + C00001	1.14.13.173
R10314	30-hydroxy-11-oxo-beta-amyrin,NADPH:oxygen oxidoreductase (30-hydroxylating)	C20510 + C00007 + C00005 + C00080 <=> C20511 + C00006 + 2 C00001	1.14.13.173
R10315	glycyrrhetaldehyde,NADPH:oxygen oxidoreductase (30-hydroxylating)	C20511 + C00007 + C00005 + C00080 <=> C02283 + C00006 + C00001	1.14.13.173
R10316	11-oxo-beta-amyrin,NADPH:oxygen oxidoreductase (30-hydroxylating)	C19943 + 3 C00007 + 3 C00005 + 3 C00080 <=> C02283 + 3 C00006 + 4 C00001	1.14.13.173
R10317	(1'S)-averantin,NADPH:O2 oxidoreductase (5'-hydroxylating)	C20499 + C00007 + C00005 + C00080 <=> C20500 + C00006 + C00001	1.14.13.174
R01271	nicotinamide-D-ribonucleotide:diphosphate phospho-alpha-D-ribosyltransferase	C00455 + C00013 <=> C00153 + C00119	2.4.2.12
R01270	Nicotinamide D-ribonucleotide phosphoribohydrolase	C00455 + C00001 <=> C00153 + C00117	3.2.2.14
R01273	N-ribosylnicotinamide ribohydrolase	C03150 + C00001 <=> C00153 + C00121	3.2.2.1         3.2.2.3
R01274	palmitoyl-CoA hydrolase	C00154 + C00001 <=> C00010 + C00249	3.1.2.2         3.1.2.22
R01277	hexadecanal:NAD+ oxidoreductase (CoA-acylating)	C00517 + C00010 + C00003 <=> C00154 + C00004 + C00080	1.2.1.42
R09323		G13057 + C00001 <=> C00140 + G13058	3.2.1.52
R09322	quinate:quinone 3-oxidoreductase	C00296 + C15602 <=> C00944 + C15603	1.1.5.8
R09320		G10609 + G10770 <=> G10619 + G13057	2.4.1.-
R09327	deoxynogalonate:oxygen oxidoreductase	C18629 + C00007 <=> C12416 + C00001	1.13.12.22
R09326		C18335 <=> C12420	
R00278	Pyridoxine 5-phosphate:oxygen oxidoreductase	C00627 + C00007 <=> C00027 + C00018	1.4.3.5
R00279	D-Glutamate:oxygen oxidoreductase (deaminating)	C00217 + C00001 + C00007 <=> C00026 + C00014 + C00027	1.4.3.7         1.4.3.15
R00276	Carbon-monoxide:oxygen oxidoreductase	C00011 + C00027 <=> C00237 + C00001 + C00007	1.2.2.4
R00277	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)	C00647 + C00001 + C00007 <=> C00018 + C00014 + C00027	1.4.3.5
R00274	glutathione:hydrogen-peroxide oxidoreductase	C00027 + 2 C00051 <=> C00127 + 2 C00001	1.11.1.9
R00275	superoxide:superoxide oxidoreductase	2 C00704 + 2 C00080 <=> C00027 + C00007	1.15.1.1
R00272	2-Oxoglutarate carboxy-lyase	C00026 <=> C00232 + C00011	4.1.1.71
R00273	oxalate:oxygen oxidoreductase	C00209 + C00007 <=> C00027 + 2 C00011	1.2.3.4
R00270		C00026 + C00014 <=> C05572 + C00001	
R00271	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	C00024 + C00001 + C00026 <=> C01251 + C00010	2.3.3.14
R07053	Arachidonate:oxygen 8-oxidoreductase	C00219 + C00007 <=> C14823	1.13.11.-
R07052		C00219 + C00007 + C00005 + C00080 <=> C14768 + C00006 + C00001	1.14.13.-       1.14.14.1
R07051		C00219 + C00007 + C00005 + C00080 <=> C14769 + C00006 + C00001	1.14.13.-       1.14.14.1
R07050		C00219 + C00007 + C00005 + C00080 <=> C14770 + C00006 + C00001	1.14.13.-       1.14.14.1
R07057	linoleate:oxygen 9-oxidoreductase	C01595 + C00007 <=> C14827	1.13.11.58
R07056		C01595 + C00007 + C00005 + C00080 <=> C14826 + C00006 + C00001	1.14.13.-       1.14.14.1
R07055		C01595 + C00007 + C00005 + C00080 <=> C14825 + C00006 + C00001	1.14.13.-       1.14.14.1
R07054		C00219 + C00007 + C00005 + C00080 <=> C14778 + C00006 + C00001	1.14.14.1
R07729	UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase	C00858 + C00029 <=> C10509 + C00015	2.4.1.170
R07728	(6aR,11aR)-3,9-dihydroxypterocarpan:NADP+ 2'-oxidoreductase	C03567 + C00005 + C00080 <=> C04271 + C00006 + C00001	
R07059		C01222 <=> C14830	1.1.1.271
R07058	13-HODE:NAD+ oxidoreductase	C14762 + C00003 <=> C14765 + C00004 + C00080	
R10891		C20917 + C00001 <=> C20918 + C00188	3.4.-.-
R10890		C20916 <=> C20917	
R06835	4-carboxymethylenebut-2-en-4-olide lactonohydrolase	C12834 + C00001 <=> C12835	3.1.1.45
R10897	geranylgeranyl-diphosphate diphosphate-lyase [(R)-nephthenol-forming]	C00353 + C00001 <=> C20923 + C00013	4.2.3.149
R10896	geranylgeranyl-diphosphate diphosphate-lyase (cembrene-C-forming)	C00353 <=> C20922 + C00013	4.2.3.148
R05381	diethanolamine ethanolamine-lyase (acetaldehyde-forming)	C00189 + C00084 <=> C06772	4.3.3.-
R05380	acetaldehyde hydro-lyase	C00084 <=> C01548 + C00001	4.2.1.112
R05383	(hydroxyamino)benzene hydroxymutase	C01987 <=> C02720	5.4.4.1
R05382	triethanolamine diethanolamine-lyase (acetaldehyde-forming)	C06771 <=> C06772 + C00084	4.3.3.-
R05385	1-Chloro-2,2-bis(4'-chlorophenyl)ethane chloride-lyase	C06638 <=> C06642 + C01327	4.5.1.-
R05384	1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane chloride-lyase	C06636 <=> C06637 + C01327	4.5.1.-
R05387	gamma-pentachlorocyclohexene chloride-lyase	C06596 <=> C06597 + C01327	4.5.1.-
R06086		G10615 + G04561 <=> G10620 + G00079	2.4.1.69
R05389	2-Hydroxy-5-methyl-cis,cis-muconate 2-Oxo-5-methyl-cis-muconate isomerase	C07478 <=> C07479	5.3.2.6
R05388	5-Chloro-1,2,4-trihydroxybenzene chloride-lyase	C07102 <=> C07103 + C01327	4.5.1.-
R10894		C20918 <=> C20920	
R06685		C12426 + C00001 <=> C12427 + C00132	
R09187		C12442 <=> C18293 + 2 C00001	4.2.1.-
R09186	2-dehydro-3-deoxy-D-arabinonate hydro-lyase (2,5-dioxopentanoate-forming)	C03826 <=> C00433 + C00001	4.2.1.141
R09185		C18272 <=> C18281 + C00058	4.1.3.-
R09184	9,10-dihydroxybenzo[a]pyrene:oxygen 10,10a-oxidoreductase (decyclizing)	C18278 + C00007 <=> C18272	1.13.11.-
R09183		C18276 + C00003 <=> C18278 + C00004 + C00080	1.3.1.29
R09182		C18275 + C00007 <=> C18271	
R09181		C14519 <=> C18269	2.8.2.-
R09180		C18261 + C05694 <=> C18260 + C05693	2.1.1.-
R09189	S-adenosyl-L-methionine:pretetramid C-methyltransferase	C00019 + C18295 <=> C00021 + C06629	2.1.1.-
R09188		C18293 <=> C18294	
R08276		C07888 <=> C16550 + C06754	1.14.13.-
R08277		C07643 <=> C07644	1.14.13.-
R08274		C16546 + C00005 + C00080 + C00007 <=> C16549 + C00001 + C00006	1.14.13.-
R08275		C07888 + C00005 + C00080 + C00007 <=> C07643 + C00006 + C00001	1.14.13.-
R08272		C16546 <=> C16548	1.14.13.-
R08273		C16645 + C00001 <=> C00010 + C16533	3.1.2.-
R08270		C16546 + C00005 + C00007 + C00080 <=> C16547 + C00006 + C00001	1.14.14.1
R08271		C07108 + C00005 + C00007 + C00080 <=> C16544 + C00006 + C00001	1.14.13.-
R06684	dTDP-beta-L-daunosamine:epsilon-rhodomycinone beta-L-daunosaminyltransferase	C12425 + C12443 <=> C12426 + C00363	2.4.1.-
R08278		C07643 <=> C07645	
R08279		C07645 <=> C07647 + C01471	
R08701	tRNA uridine 5-carboxymethylaminomethyl modification	C17322 + C00037 + C03479 + C00030 <=> C17323 + C00101 + C00028 + C00001	
R08706	UDP-N-acetyl-D-glucosaminuronate 4-epimerase	C04573 <=> C13952	5.1.3.-
R08707	N-linked-glycopeptide-(N-acetyl-beta-D-glucosaminyl)-L-asparagine amidohydrolase	C04375 + C00001 <=> C01239 + C02871	3.5.1.52
R09522	L-tyrosine,iodide:NADP+ oxidoreductase (iodinating)	C02515 + C00006 + C00708 <=> C01060 + C00005	1.21.1.1
R00499	S-Succinylglutathione hydrolase	C03174 + C00001 <=> C00051 + C00042	3.1.2.13
R08704	UDP-4-dehydro-6-deoxy-glucose 3,5-epimerase	C04089 <=> C17328	1.1.1.-         5.1.3.-
R00493	L-aspartate:2-oxo acid aminotransferase	C00049 + C00161 <=> C05167 + C00036	2.6.1.-
R00490	L-aspartate ammonia-lyase (fumarate-forming)	C00049 <=> C00122 + C00014	4.3.1.1
R00491	aspartate racemase	C00049 <=> C00402	5.1.1.13
R00497	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	C00002 + C00669 + C00037 <=> C00008 + C00009 + C00051	6.3.2.3
R00494	glutathione gamma-glutamylaminopeptidase	C00051 + C00001 <=> C01419 + C00025	3.4.19.13
R09653	15-cis-phytoene:plastoquinone oxidoreductase	C05421 + C02061 <=> C19765 + C16693	1.3.5.5
R04388	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase	C00002 + C04071 <=> C00008 + C04503	2.7.3.7
R04389	Heparosan-N-sulfate D-glucuronate glucurono-5-epimerase	C04196 <=> C04073	5.1.3.17
R06089		G10615 + G00078 <=> G10620 + G10511	2.4.1.69
R09652	15-cis-phytoene:plastoquinone oxidoreductase	C05421 + 2 C02061 <=> C19764 + 2 C16693	1.3.5.5
R04382	4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate lyase	C06118 <=> 2 C04053	4.2.2.6
R04383	5-Dehydro-4-deoxy-D-glucuronate ketol-isomerase	C04053 <=> C04349	5.3.1.17
R04380	5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase	C04052 <=> C05600 + C00011	4.1.1.68
R06088		G00370 + C00001 <=> C02336 + C00267	3.2.1.20        3.2.1.26        3.2.1.48
R04386	carboxybiotin-carboxyl-carrier-protein:acetyl-CoA carboxytransferase	C00024 + C04419 <=> C00083 + C06250	6.4.1.2
R04387	diethyl-(2R,3R)-2-methyl-3-hydroxysuccinate:NADP+ 3-oxidoreductase	C04586 + C00006 <=> C04067 + C00005 + C00080	1.1.1.229
R04384	methanol:[Co(I) corrinoid protein] Co-methyltransferase	C00132 + C06021 <=> C06020 + C00001	2.1.1.90
R04385	biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming)	C00002 + C06250 + C00288 <=> C00008 + C00009 + C04419	6.3.4.14
R08709	CDP-ascarylose:NAD+ 4-oxidoreductase	C17326 + C00004 + C00080 <=> C17327 + C00003	1.1.1.-
R09657	streptothricin-F hydrolase	C19785 + C00001 <=> C19786	3.5.2.19
R08626	dihomomethionine:2-oxo-acid aminotransferase	C17216 + C00151 <=> C17217 + C00161	2.6.1.-
R09656	9,9'-dicis-zeta-carotene:quinone oxidoreductase	C15857 + C15602 <=> C19759 + C15603	1.3.5.6
R03602		C01529 <=> C05684	
R03603		C01529 <=> C05697	
R03600	Hydrogen-sulfide:ferredoxin oxidoreductase	C01528 + 6 C00139 + 3 C00001 <=> C05684 + 6 C00138 + 8 C00080	1.8.7.1
R03601	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide)	C00979 + C01528 <=> C05688 + C00033	2.5.1.47
R06894		C00203 + 2 C00003 + C00001 <=> C13952 + 2 C00004 + 2 C00080	1.1.1.-
R03607	ATP:viomycin O-phosphotransferase	C00002 + C01540 <=> C00008 + C02574	2.7.1.103
R03604	Syringin beta-D-glucosidase	C01533 + C00001 <=> C02325 + C00031	3.2.1.126
R03605	UDPglucose:coniferyl-alcohol 4'-beta-D-glucosyltransferase	C00029 + C02325 <=> C00015 + C01533	2.4.1.111
R06898		C14101 <=> C14111	
R06899		C14111 <=> C14113	
R03608	o-Cresol,NADPH:oxogen oxidoreductase (2-hydroxylating)	C01542 + C00007 + C00005 + C00080 <=> C02923 + C00006 + C00001	1.14.13.-
R03609	(gamma-L-Glutamyl)-N1-(4-hydroxymethylphenyl)hydrazine:(acceptor) gamma-glutamyltransferase	C01550 + C16722 <=> C03994 + C03649	2.3.2.9
R00746	Ethanol:NADP+ oxidoreductase	C00469 + C00006 <=> C00084 + C00005 + C00080	1.1.1.2         1.1.1.71
R00747	2-Phosphonoacetaldehyde phosphonohydrolase	C03167 + C00001 <=> C00084 + C00009	3.11.1.1
R04030	O-Succinylbenzoate:CoA ligase (AMP-forming)	C00002 + C02730 + C00010 <=> C00020 + C00013 + C03160	6.2.1.26
R04031	(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate hydrolyase (2-succinylbenzoate-forming)	C02730 + C00001 <=> C05817	4.2.1.113
R04032	Peptide-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)	C02732 + C00007 <=> C03529	1.13.11.26
R04033	S-Adenosyl-L-methionine:phenylethanolamine N-methyltransferase	C00019 + C02735 <=> C00021 + C03711	2.1.1.28
R04034	phosphatidylserine 1-acylhydrolase	C02737 + C00001 <=> C05974 + C00162	3.1.1.32
R04035	Phosphoribosyl-ATP pyrophosphohydrolase	C02739 + C00001 <=> C02741 + C00013	3.6.1.31
R04036	Photinus-luciferin:oxygen 4-oxidoreductase(decarboxylating,ATP-hydrolysing)	C02740 + C00007 + C00002 <=> C03797 + C00205 + C00020 + C00013 + C00011	1.13.12.7
